lhub_ts,Account_Name,_time,index,New_Process_ID,Process_Command_Line,Creator_Process_ID,New_Process_Name,Security_ID,ComputerName,Creator_Process_Name,Account_Domain
1.56096E+12,"ben,-",2019-06-19T09:40:12.000-05:00,bene,0x3044,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1300,2772169660324377946,1072921058181861210,131072 --disable-gpu-compositing --lang=en-US --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=8371199283305886676 --renderer-client-id=4010 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=6932 /prefetch:1",0x630,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,"S-1-5-21-4074083065-1943752578-90242396-1117,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56096E+12,"SERVERTEST$,SERVERTEST$",2019-06-19T09:40:08.000-05:00,bene,0x1fd0,"c:\windows\system32\inetsrv\w3wp.exe -ap ""WebApiService"" -v ""v4.0"" -l ""webengine4.dll"" -a \\.\pipe\iisipm372ba666-1c41-49df-aabb-eab8b2275a3c -h ""C:\inetpub\temp\apppools\WebApiService\WebApiService.config"" -w """" -m 0 -t 20 -ta 0",0xab8,C:\Windows\System32\inetsrv\w3wp.exe,"S-1-5-18,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,CONTOSO"
1.56096E+12,Gord,2019-06-19T09:39:16.000-05:00,local,0xdb8,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1836,14607855324383857227,15415048851676924760,131072 --lang=en-US --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=2930512466766840053 --renderer-client-id=3183 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=6400 /prefetch:1",0x2020,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,admin,Splunk2,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,SPLUNK2
1.56096E+12,"SERVERTEST$,SERVERTEST$",2019-06-19T09:38:03.000-05:00,bene,0x3044,C:\Windows\system32\sppsvc.exe,0x2dc,C:\Windows\System32\sppsvc.exe,"S-1-5-18,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,CONTOSO"
1.56096E+12,"SERVERTEST$,-",2019-06-19T09:38:01.000-05:00,bene,0x1cd0,C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.3.9600.18384_none_fa1d93c39b41b41a\TiWorker.exe -Embedding,0x37c,C:\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.3.9600.18384_none_fa1d93c39b41b41a\TiWorker.exe,"S-1-5-18,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56096E+12,"SERVERTEST$,-",2019-06-19T09:38:01.000-05:00,bene,0x1ef4,C:\Windows\servicing\TrustedInstaller.exe,0x2dc,C:\Windows\servicing\TrustedInstaller.exe,"S-1-5-18,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56096E+12,"ben,-",2019-06-19T09:37:12.000-05:00,bene,0xe0c,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1300,2772169660324377946,1072921058181861210,131072 --disable-gpu-compositing --lang=en-US --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12996352277529772570 --renderer-client-id=4009 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=2368 /prefetch:1",0x630,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,"S-1-5-21-4074083065-1943752578-90242396-1117,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56096E+12,"SERVERTEST$,-",2019-06-19T09:36:57.000-05:00,bene,0x2364,\??\C:\Windows\system32\conhost.exe 0xffffffff,0x4e4,C:\Windows\System32\conhost.exe,"S-1-5-18,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56096E+12,"SERVERTEST$,-",2019-06-19T09:36:57.000-05:00,bene,0x4e4,C:\Windows\system32\sc.exe start wuauserv,0x21c,C:\Windows\System32\sc.exe,"S-1-5-18,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56095E+12,"SERVERTEST$,-",2019-06-19T09:36:33.000-05:00,bene,0x21dc,\??\C:\Windows\system32\conhost.exe 0xffffffff,0x33d4,C:\Windows\System32\conhost.exe,"S-1-5-18,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56095E+12,"SERVERTEST$,-",2019-06-19T09:36:33.000-05:00,bene,0x33d4,C:\Windows\system32\sc.exe start wuauserv,0x21c,C:\Windows\System32\sc.exe,"S-1-5-18,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56095E+12,Gord,2019-06-19T09:35:16.000-05:00,local,0x29c8,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1836,14607855324383857227,15415048851676924760,131072 --lang=en-US --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=10538874207135039939 --renderer-client-id=3182 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=11232 /prefetch:1",0x2020,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,admin,Splunk2,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,SPLUNK2
1.56095E+12,"ben,-",2019-06-19T09:35:06.000-05:00,bene,0x1d90,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1300,2772169660324377946,1072921058181861210,131072 --disable-gpu-compositing --lang=en-US --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6074676707897739948 --renderer-client-id=4008 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3688 /prefetch:1",0x630,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,"S-1-5-21-4074083065-1943752578-90242396-1117,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56095E+12,"SERVERTEST$,-",2019-06-19T09:34:47.000-05:00,bene,0x138c,\??\C:\Windows\system32\conhost.exe 0xffffffff,0x3290,C:\Windows\System32\conhost.exe,"S-1-5-18,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56095E+12,"SERVERTEST$,-",2019-06-19T09:34:47.000-05:00,bene,0x3290,"C:\Windows\System32\Essentials\RunTask.exe /asm:""C:\Program Files\Windows Server\Bin\WebApps\MacWebService\bin\Microsoft.WindowsServerSolutions.MacIntegration.MacWebService.dll"" /class:Microsoft.WindowsServerSolutions.MacIntegration.MacTasks /method:SetOnlineOffline /task:""Macintosh Status Report""",0x21c,C:\Windows\System32\Essentials\RunTask.exe,"S-1-5-18,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56095E+12,"SERVERTEST$,-",2019-06-19T09:34:46.000-05:00,bene,0x32a0,\??\C:\Windows\system32\conhost.exe 0xffffffff,0x228c,C:\Windows\System32\conhost.exe,"S-1-5-18,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56095E+12,"SERVERTEST$,-",2019-06-19T09:34:46.000-05:00,bene,0x228c,"C:\Windows\System32\Essentials\RunTask.exe /asm:""C:\Windows\Microsoft.Net\assembly\GAC_MSIL\AlertFramework\v4.0_6.3.0.0__31bf3856ad364e35\AlertFramework.dll"" /class:Microsoft.WindowsServerSolutions.NetworkHealth.AlertFramework.HealthScheduledTask /method:EvaluateAlertsTaskAction /task:""Alert Evaluations""",0x21c,C:\Windows\System32\Essentials\RunTask.exe,"S-1-5-18,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56095E+12,SPLUNK2$,2019-06-19T09:33:57.000-05:00,local,0x1cf4,"""C:\WINDOWS\system32\SearchFilterHost.exe"" 0 772 776 784 8192 780",0xf60,C:\Windows\System32\SearchFilterHost.exe,admin,Splunk2,C:\Windows\System32\SearchIndexer.exe,WORKGROUP
1.56095E+12,SPLUNK2$,2019-06-19T09:33:57.000-05:00,local,0x2e7c,"""C:\WINDOWS\system32\SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe299_ Global\UsGthrCtrlFltPipeMssGthrPipe299 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownLevelDaemon""",0xf60,C:\Windows\System32\SearchProtocolHost.exe,admin,Splunk2,C:\Windows\System32\SearchIndexer.exe,WORKGROUP
1.56095E+12,Gord,2019-06-19T09:33:16.000-05:00,local,0x3324,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1836,14607855324383857227,15415048851676924760,131072 --lang=en-US --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=2158340031273314854 --renderer-client-id=3181 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=5816 /prefetch:1",0x2020,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,admin,Splunk2,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,SPLUNK2
1.56095E+12,SPLUNK2$,2019-06-19T09:32:52.000-05:00,local,0x1f64,"""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:App.AppXmtcan0h2tfbfy7k9kn8hbxb6dmzz1zh0.mca",0x1ec,C:\Windows\System32\backgroundTaskHost.exe,admin,Splunk2,C:\Windows\System32\svchost.exe,WORKGROUP
1.56095E+12,SPLUNK2$,2019-06-19T09:32:32.000-05:00,local,0x2fe4,"""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:App.AppXmtcan0h2tfbfy7k9kn8hbxb6dmzz1zh0.mca",0x1ec,C:\Windows\System32\backgroundTaskHost.exe,admin,Splunk2,C:\Windows\System32\svchost.exe,WORKGROUP
1.56095E+12,SPLUNK2$,2019-06-19T09:32:28.000-05:00,local,0x2774,C:\WINDOWS\System32\svchost.exe -k netsvcs -p,0x37c,C:\Windows\System32\svchost.exe,admin,Splunk2,C:\Windows\System32\services.exe,WORKGROUP
1.56095E+12,SPLUNK2$,2019-06-19T09:32:26.000-05:00,local,0xb5c,"""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:App.AppXmtcan0h2tfbfy7k9kn8hbxb6dmzz1zh0.mca",0x1ec,C:\Windows\System32\backgroundTaskHost.exe,admin,Splunk2,C:\Windows\System32\svchost.exe,WORKGROUP
1.56095E+12,SPLUNK2$,2019-06-19T09:32:24.000-05:00,local,0x3294,"""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:App.AppXmtcan0h2tfbfy7k9kn8hbxb6dmzz1zh0.mca",0x1ec,C:\Windows\System32\backgroundTaskHost.exe,admin,Splunk2,C:\Windows\System32\svchost.exe,WORKGROUP
1.56095E+12,"ben,-",2019-06-19T09:32:06.000-05:00,bene,0x1088,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1300,2772169660324377946,1072921058181861210,131072 --disable-gpu-compositing --lang=en-US --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=14980164316143045063 --renderer-client-id=4007 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=6804 /prefetch:1",0x630,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,"S-1-5-21-4074083065-1943752578-90242396-1117,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56095E+12,SPLUNK2$,2019-06-19T09:31:52.000-05:00,local,0x3538,C:\Windows\System32\RuntimeBroker.exe -Embedding,0x1ec,C:\Windows\System32\RuntimeBroker.exe,admin,Splunk2,C:\Windows\System32\svchost.exe,WORKGROUP
1.56095E+12,SPLUNK2$,2019-06-19T09:31:52.000-05:00,local,0x21e0,"""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:App.AppXmtcan0h2tfbfy7k9kn8hbxb6dmzz1zh0.mca",0x1ec,C:\Windows\System32\backgroundTaskHost.exe,admin,Splunk2,C:\Windows\System32\svchost.exe,WORKGROUP
1.56095E+12,"SERVERTEST$,-",2019-06-19T09:30:03.000-05:00,bene,0x3494,"""C:\Windows\system32\SearchFilterHost.exe"" 0 600 604 612 65536 608",0x1910,C:\Windows\System32\SearchFilterHost.exe,"S-1-5-18,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56095E+12,"SERVERTEST$,-",2019-06-19T09:30:03.000-05:00,bene,0x1dc4,"""C:\Windows\system32\SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe556_ Global\UsGthrCtrlFltPipeMssGthrPipe556 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownLevelDaemon""",0x1910,C:\Windows\System32\SearchProtocolHost.exe,"S-1-5-18,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56095E+12,"ben,-",2019-06-19T09:30:00.000-05:00,bene,0x361c,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1300,2772169660324377946,1072921058181861210,131072 --disable-gpu-compositing --lang=en-US --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=14352200036803505826 --renderer-client-id=4006 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3040 /prefetch:1",0x630,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,"S-1-5-21-4074083065-1943752578-90242396-1117,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56095E+12,Gord,2019-06-19T09:29:16.000-05:00,local,0x2e60,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1836,14607855324383857227,15415048851676924760,131072 --lang=en-US --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=15448157971955584270 --renderer-client-id=3180 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=10408 /prefetch:1",0x2020,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,admin,Splunk2,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,SPLUNK2
1.56095E+12,Gord,2019-06-19T09:27:16.000-05:00,local,0x3104,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1836,14607855324383857227,15415048851676924760,131072 --lang=en-US --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=17063522620935256865 --renderer-client-id=3179 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3468 /prefetch:1",0x2020,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,admin,Splunk2,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,SPLUNK2
1.56095E+12,"ben,-",2019-06-19T09:27:01.000-05:00,bene,0x301c,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1300,2772169660324377946,1072921058181861210,131072 --disable-gpu-compositing --lang=en-US --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=14268717701778556941 --renderer-client-id=4005 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=7700 /prefetch:1",0x630,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,"S-1-5-21-4074083065-1943752578-90242396-1117,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56095E+12,SPLUNK2$,2019-06-19T09:26:52.000-05:00,local,0xd64,C:\WINDOWS\system32\svchost.exe -k appmodel -p -s camsvc,0x37c,C:\Windows\System32\svchost.exe,admin,Splunk2,C:\Windows\System32\services.exe,WORKGROUP
1.56095E+12,"ben,-",2019-06-19T09:24:55.000-05:00,bene,0x1380,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1300,2772169660324377946,1072921058181861210,131072 --disable-gpu-compositing --lang=en-US --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=10551525866003845406 --renderer-client-id=4004 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3672 /prefetch:1",0x630,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,"S-1-5-21-4074083065-1943752578-90242396-1117,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56095E+12,"SERVERTEST$,-",2019-06-19T09:24:47.000-05:00,bene,0x15e0,\??\C:\Windows\system32\conhost.exe 0xffffffff,0x1c5c,C:\Windows\System32\conhost.exe,"S-1-5-18,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56095E+12,"SERVERTEST$,-",2019-06-19T09:24:47.000-05:00,bene,0x1c5c,"C:\Windows\System32\Essentials\RunTask.exe /asm:""C:\Program Files\Windows Server\Bin\WebApps\MacWebService\bin\Microsoft.WindowsServerSolutions.MacIntegration.MacWebService.dll"" /class:Microsoft.WindowsServerSolutions.MacIntegration.MacTasks /method:SetOnlineOffline /task:""Macintosh Status Report""",0x21c,C:\Windows\System32\Essentials\RunTask.exe,"S-1-5-18,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56095E+12,Gord,2019-06-19T09:23:16.000-05:00,local,0x1eb8,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1836,14607855324383857227,15415048851676924760,131072 --lang=en-US --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=3871378977358872888 --renderer-client-id=3178 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=10864 /prefetch:1",0x2020,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,admin,Splunk2,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,SPLUNK2
1.56095E+12,"ben,-",2019-06-19T09:21:55.000-05:00,bene,0x34a4,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1300,2772169660324377946,1072921058181861210,131072 --disable-gpu-compositing --lang=en-US --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6456605731382509297 --renderer-client-id=4003 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=9900 /prefetch:1",0x630,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,"S-1-5-21-4074083065-1943752578-90242396-1117,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56095E+12,Gord,2019-06-19T09:21:16.000-05:00,local,0x2e64,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1836,14607855324383857227,15415048851676924760,131072 --lang=en-US --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=6503444810645921073 --renderer-client-id=3177 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=8972 /prefetch:1",0x2020,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,admin,Splunk2,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,SPLUNK2
1.56095E+12,"SERVERTEST$,SERVERTEST$",2019-06-19T09:20:07.000-05:00,bene,0x339c,"c:\windows\system32\inetsrv\w3wp.exe -ap ""WebApiService"" -v ""v4.0"" -l ""webengine4.dll"" -a \\.\pipe\iisipm074f27a6-7c4d-4459-b846-a9077316faee -h ""C:\inetpub\temp\apppools\WebApiService\WebApiService.config"" -w """" -m 0 -t 20 -ta 0",0xab8,C:\Windows\System32\inetsrv\w3wp.exe,"S-1-5-18,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,CONTOSO"
1.56095E+12,"ben,-",2019-06-19T09:19:49.000-05:00,bene,0x2ba0,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1300,2772169660324377946,1072921058181861210,131072 --disable-gpu-compositing --lang=en-US --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=3645085554293127101 --renderer-client-id=4002 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=6264 /prefetch:1",0x630,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,"S-1-5-21-4074083065-1943752578-90242396-1117,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56095E+12,Gord,2019-06-19T09:17:16.000-05:00,local,0x3244,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1836,14607855324383857227,15415048851676924760,131072 --lang=en-US --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=16711233061465667417 --renderer-client-id=3176 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=6348 /prefetch:1",0x2020,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,admin,Splunk2,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,SPLUNK2
